v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
2,5,COG0016,7,1.0,1.0,0_1,8.021700945945947,7.658717213579372,0.4916683525839996,0.11578283312976456
3,0,COG0016,9,1.0,1.0,,2.9300121621621624,0.36041980365368326,8.079084915801644,0.14852319838982678
3,1,COG0016,9,1.0,1.0,,1.2295562702702703,0.21147050047926205,1.5457655893622577,0.16154381789116495
3,2,COG0016,9,1.0,1.0,,0.6016982702702703,0.15173236540286975,0.4647421960537405,0.16665320743376666
3,3,COG0016,9,1.0,1.0,,0.0,0.04849454873591002,0.029566749723164424,0.17171089207660084
3,4,COG0016,9,1.0,1.0,,0.0,0.05114686161982593,0.03251789598878454,0.17171089207660084
3,5,COG0016,9,1.0,1.0,,1.1510750405405406,0.05172298011868726,1.239247818312752,0.1621732883446574
1,0,COG0016,5,1.0,1.0,0_1,12.661819324324323,11.789237839653017,3.0422945849543104,0.09258794593724323
1,1,COG0016,5,1.0,1.0,0_1,7.4035095945945955,7.363376228371888,0.8433720675135651,0.11931216528971691
1,2,COG0016,5,1.0,1.0,0_1,9.757966891891893,4.929907658000968,23.72813519447506,0.10645132237282715
1,3,COG0016,5,1.0,1.0,0_1,1.8835760405405406,2.152507307231345,0.13652407278093545,0.15639793414900383
1,4,COG0016,5,1.0,1.0,0_1,0.0,1.1739635751765418,1.4221667738917825,0.17171089207660084
1,5,COG0016,5,1.0,1.0,0_1,3.8456435135135134,1.5318368035636676,5.40495687115477,0.14197797309956167
5,0,COG0016,13,1.0,1.0,0,8.528418783783785,7.2688670290797885,2.1917816382820656,0.11297273800019687
5,1,COG0016,13,1.0,1.0,0,2.5899152702702706,4.690471554467948,4.667925240038973,0.1510353026910371
5,2,COG0016,13,1.0,1.0,0,1.2557180405405404,3.0284236186330245,3.2550597482569885,0.16133456030625695
5,3,COG0016,13,1.0,1.0,0,1.7789330405405406,1.5180858461215503,0.0971018337207146,0.1572094386410939
5,4,COG0016,13,1.0,1.0,0,0.0,0.5555754309025561,0.3158425160269634,0.17171089207660084
5,5,COG0016,13,1.0,1.0,0,0.0,0.8905339004271674,0.8059413160518821,0.17171089207660084
4,0,COG0016,11,1.0,1.0,0_1,18.34673891891892,15.246060022003416,10.749084359402922,0.07071315211034396
4,1,COG0016,11,1.0,1.0,0_1,7.472208648648649,9.504758338904995,4.610763985247746,0.1189143630259764
4,2,COG0016,11,1.0,1.0,0_1,4.715892432432432,6.376764908061536,2.982356976810039,0.13604061727058628
4,3,COG0016,11,1.0,1.0,0_1,1.1628203243243245,2.7612064632166415,2.6115481381673242,0.16207891810393635
4,4,COG0016,11,1.0,1.0,0_1,1.5719623783783787,1.537981168091653,0.021559676228702453,0.15882768643526785
4,5,COG0016,11,1.0,1.0,0_1,5.512632432432434,1.9873449244032044,12.458338809811112,0.13083582813277458
6,0,COG0016,15,1.0,1.0,1,8.136002432432432,4.441743339247403,13.95461003116598,0.11514252291946456
6,1,COG0016,15,1.0,1.0,1,0.7325010000000001,2.606013846669458,3.628691946392283,0.16557478655047098
