contig_id,cluster_id
NODE_22_length_46028_cov_91.703641.2,8
NODE_22_length_46028_cov_91.703641.3,8
NODE_23_length_45256_cov_14.588791.0,1
NODE_23_length_45256_cov_14.588791.1,1
NODE_23_length_45256_cov_14.588791.2,1
NODE_23_length_45256_cov_14.588791.3,1
NODE_24_length_43940_cov_88.632788.0,2
NODE_24_length_43940_cov_88.632788.1,2
NODE_24_length_43940_cov_88.632788.2,2
NODE_24_length_43940_cov_88.632788.3,2
NODE_25_length_43588_cov_89.433017.0,2
NODE_25_length_43588_cov_89.433017.1,2
NODE_25_length_43588_cov_89.433017.2,2
NODE_25_length_43588_cov_89.433017.3,2
NODE_26_length_43493_cov_69.576032.0,8
NODE_26_length_43493_cov_69.576032.1,8
NODE_26_length_43493_cov_69.576032.2,8
NODE_27_length_41000_cov_82.492266.0,8
NODE_27_length_41000_cov_82.492266.1,8
NODE_27_length_41000_cov_82.492266.2,8
NODE_28_length_40494_cov_90.345696.0,8
NODE_28_length_40494_cov_90.345696.1,8
NODE_28_length_40494_cov_90.345696.2,8
NODE_28_length_40494_cov_90.345696.3,8
NODE_29_length_39564_cov_89.439512.0,8
NODE_29_length_39564_cov_89.439512.1,8
NODE_29_length_39564_cov_89.439512.2,8
NODE_30_length_38810_cov_89.773191.0,2
NODE_30_length_38810_cov_89.773191.1,2
NODE_30_length_38810_cov_89.773191.2,2
NODE_31_length_37357_cov_13.731411.0,1
NODE_31_length_37357_cov_13.731411.1,1
NODE_31_length_37357_cov_13.731411.2,1
NODE_32_length_36761_cov_97.987215.0,2
NODE_32_length_36761_cov_97.987215.1,2
NODE_32_length_36761_cov_97.987215.2,2
NODE_33_length_36654_cov_88.376657.0,2
NODE_33_length_36654_cov_88.376657.1,2
NODE_33_length_36654_cov_88.376657.2,2
NODE_34_length_36600_cov_71.846864.0,2
NODE_34_length_36600_cov_71.846864.1,2
NODE_34_length_36600_cov_71.846864.2,2
NODE_35_length_35877_cov_118.067291.0,2
NODE_35_length_35877_cov_118.067291.1,2
NODE_35_length_35877_cov_118.067291.2,2
NODE_36_length_34693_cov_81.086492.0,2
NODE_36_length_34693_cov_81.086492.1,2
NODE_36_length_34693_cov_81.086492.2,2
NODE_37_length_34206_cov_14.013595.0,1
NODE_37_length_34206_cov_14.013595.1,1
NODE_37_length_34206_cov_14.013595.2,1
NODE_38_length_32562_cov_74.891242.0,2
NODE_38_length_32562_cov_74.891242.1,2
NODE_38_length_32562_cov_74.891242.2,2
NODE_39_length_31805_cov_92.274300.0,2
NODE_39_length_31805_cov_92.274300.1,2
NODE_39_length_31805_cov_92.274300.2,2
NODE_40_length_31484_cov_80.441940.0,8
NODE_40_length_31484_cov_80.441940.1,8
NODE_40_length_31484_cov_80.441940.2,8
NODE_41_length_31138_cov_100.698754.0,2
NODE_41_length_31138_cov_100.698754.1,2
NODE_42_length_30616_cov_80.419660.0,2
NODE_42_length_30616_cov_80.419660.1,2
NODE_42_length_30616_cov_80.419660.2,2
NODE_43_length_30340_cov_108.852394.0,2
NODE_43_length_30340_cov_108.852394.1,2
NODE_44_length_30134_cov_98.500615.0,2
NODE_44_length_30134_cov_98.500615.1,2
NODE_45_length_29892_cov_79.173470.0,2
NODE_45_length_29892_cov_79.173470.1,2
NODE_46_length_29871_cov_96.370142.0,2
NODE_46_length_29871_cov_96.370142.1,2
NODE_47_length_29760_cov_14.955867.0,1
NODE_47_length_29760_cov_14.955867.1,1
NODE_48_length_29403_cov_87.015549.0,2
NODE_48_length_29403_cov_87.015549.1,2
NODE_49_length_29195_cov_16.573116.0,1
NODE_49_length_29195_cov_16.573116.1,1
NODE_50_length_29069_cov_79.463473.0,2
NODE_50_length_29069_cov_79.463473.1,2
NODE_51_length_28954_cov_87.297607.0,7
NODE_51_length_28954_cov_87.297607.1,2
NODE_52_length_28942_cov_86.086333.0,8
NODE_52_length_28942_cov_86.086333.1,8
NODE_53_length_28243_cov_80.347582.0,8
NODE_53_length_28243_cov_80.347582.1,8
NODE_54_length_27760_cov_92.635264.0,2
NODE_54_length_27760_cov_92.635264.1,2
NODE_55_length_27367_cov_83.765775.0,2
NODE_55_length_27367_cov_83.765775.1,2
NODE_56_length_26632_cov_79.162493.0,8
NODE_56_length_26632_cov_79.162493.1,8
NODE_57_length_26396_cov_76.010069.0,2
NODE_57_length_26396_cov_76.010069.1,2
NODE_58_length_26015_cov_21.986930.0,8
NODE_58_length_26015_cov_21.986930.1,8
NODE_59_length_25699_cov_33.101163.0,8
NODE_59_length_25699_cov_33.101163.1,8
NODE_60_length_25696_cov_87.296382.0,2
NODE_60_length_25696_cov_87.296382.1,2
NODE_61_length_25471_cov_92.689415.0,8
NODE_61_length_25471_cov_92.689415.1,8
NODE_62_length_25314_cov_100.626540.0,2
NODE_62_length_25314_cov_100.626540.1,2
NODE_63_length_24989_cov_17.225112.0,1
NODE_63_length_24989_cov_17.225112.1,1
NODE_64_length_24987_cov_69.371618.0,2
NODE_64_length_24987_cov_69.371618.1,2
NODE_65_length_24649_cov_13.471268.0,1
NODE_65_length_24649_cov_13.471268.1,1
NODE_66_length_24400_cov_88.322904.0,2
NODE_66_length_24400_cov_88.322904.1,2
NODE_67_length_24356_cov_78.907986.0,8
NODE_67_length_24356_cov_78.907986.1,8
NODE_68_length_24288_cov_91.633266.0,2
NODE_68_length_24288_cov_91.633266.1,2
NODE_69_length_24033_cov_113.446443.0,2
NODE_69_length_24033_cov_113.446443.1,2
NODE_70_length_23870_cov_69.754760.0,2
NODE_70_length_23870_cov_69.754760.1,2
NODE_71_length_23597_cov_66.080230.0,2
NODE_71_length_23597_cov_66.080230.1,2
NODE_72_length_23540_cov_89.391126.0,2
NODE_72_length_23540_cov_89.391126.1,2
NODE_73_length_23363_cov_83.367216.0,2
NODE_73_length_23363_cov_83.367216.1,2
NODE_74_length_23217_cov_90.457260.0,8
NODE_74_length_23217_cov_90.457260.1,8
NODE_75_length_23096_cov_79.401103.0,8
NODE_75_length_23096_cov_79.401103.1,8
NODE_76_length_22892_cov_94.898269.0,2
NODE_76_length_22892_cov_94.898269.1,2
NODE_77_length_22302_cov_86.782542.0,2
NODE_78_length_21976_cov_14.470798.0,1
NODE_78_length_21976_cov_14.470798.1,1
NODE_79_length_21609_cov_73.352870.0,2
NODE_79_length_21609_cov_73.352870.1,2
NODE_80_length_21122_cov_73.829936.0,2
NODE_80_length_21122_cov_73.829936.1,2
NODE_81_length_20764_cov_83.266593.0,2
NODE_81_length_20764_cov_83.266593.1,2
NODE_82_length_20708_cov_87.430178.0,2
NODE_83_length_20414_cov_14.956582.0,1
NODE_84_length_20016_cov_85.482572.0,2
NODE_85_length_19958_cov_88.708214,2
NODE_86_length_19578_cov_79.157889,2
NODE_87_length_19394_cov_15.324377,1
NODE_88_length_18877_cov_14.061383,1
NODE_89_length_18731_cov_68.749759,2
NODE_90_length_18646_cov_86.237923,2
NODE_91_length_18299_cov_90.055921,2
NODE_92_length_18148_cov_93.895191,2
NODE_93_length_18093_cov_92.739842,2
NODE_94_length_17947_cov_82.703581,8
NODE_95_length_17589_cov_99.665315,2
NODE_96_length_17432_cov_100.036070,2
NODE_97_length_17181_cov_75.643534,2
NODE_98_length_17144_cov_108.543857,2
NODE_99_length_17036_cov_100.009611,2
NODE_100_length_16440_cov_72.171362,2
NODE_101_length_16387_cov_16.036787,1
NODE_102_length_16317_cov_74.125554,2
NODE_103_length_15960_cov_11.121514,1
NODE_104_length_15774_cov_97.478117,8
NODE_105_length_15670_cov_82.357404,2
NODE_106_length_15625_cov_81.699961,2
NODE_107_length_15495_cov_82.436373,2
NODE_108_length_15443_cov_80.435312,2
NODE_109_length_15321_cov_57.529389,2
NODE_110_length_15222_cov_93.632684,2
NODE_111_length_15209_cov_86.841396,2
NODE_112_length_15182_cov_64.197881,2
NODE_113_length_15166_cov_86.275366,8
NODE_114_length_15148_cov_9.917258,8
NODE_115_length_15064_cov_86.557283,2
NODE_116_length_14577_cov_97.124414,2
NODE_117_length_14156_cov_88.379643,2
NODE_118_length_14003_cov_100.052061,2
NODE_119_length_13810_cov_81.299643,2
NODE_120_length_13670_cov_62.187449,2
NODE_121_length_13568_cov_75.575421,8
NODE_122_length_13567_cov_86.434618,2
NODE_123_length_13522_cov_7.110450,1
NODE_124_length_13217_cov_102.314840,2
NODE_125_length_13145_cov_76.824686,2
NODE_126_length_13091_cov_95.183879,2
NODE_127_length_12763_cov_101.184613,8
NODE_128_length_12757_cov_82.799054,2
NODE_129_length_12742_cov_98.684801,2
NODE_130_length_12731_cov_76.522681,2
NODE_131_length_12298_cov_49.382456,4
NODE_132_length_12247_cov_77.169269,2
NODE_133_length_12165_cov_82.745864,2
NODE_134_length_12151_cov_82.742587,8
NODE_135_length_12064_cov_87.861266,2
NODE_136_length_11995_cov_109.429183,2
NODE_137_length_11504_cov_109.690732,2
NODE_138_length_11390_cov_83.137806,2
NODE_139_length_11374_cov_87.003275,8
NODE_140_length_11264_cov_15.934746,1
NODE_141_length_10909_cov_8.541544,4
NODE_142_length_10700_cov_74.727761,2
NODE_143_length_10680_cov_11.499859,8
NODE_144_length_10623_cov_104.355964,2
NODE_145_length_10581_cov_84.191927,8
NODE_146_length_10543_cov_72.418211,2
