contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_195_length_6567_cov_4.425270	4.2603197	0.0000000	2.7745621	1.5707541	0.9984767	0.2729627	0.4557502	0.0912414	0.0452399	0.0912414
NODE_196_length_6402_cov_122.286166	27.3117180	16.7271881	45.4367180	38.4984360	15.5159378	9.1189060	34.6209373	23.2232819	36.4006233	23.1609383
NODE_197_length_6402_cov_97.396364	20.5910931	13.9973440	38.0557823	29.9481258	11.9267187	7.4403124	25.5871868	19.5179691	28.3292179	17.9046879
NODE_198_length_6367_cov_114.826550	24.6659851	16.3131180	42.9014931	33.5767479	14.0059700	9.5668497	30.4031429	23.1690502	36.3555374	21.0073833
NODE_199_length_6365_cov_8.530693	8.5480118	0.0000000	3.8048091	3.1838756	1.6217194	0.2827283	1.1041962	0.1178689	0.0000000	0.0000000
NODE_200_length_6360_cov_48.354130	9.7988358	7.2588863	18.4208870	14.4932365	6.1115131	3.8391004	12.8713436	10.2719412	16.9355145	9.9160109
NODE_201_length_6353_cov_60.931166	13.2327194	10.0603056	23.3756886	19.1788692	7.0954180	5.0392065	16.3807278	12.5295229	18.6795788	11.4267044
NODE_202_length_6333_cov_98.047954	21.1149902	15.6962566	37.1503716	28.7731800	13.0172167	7.3833518	26.9213390	19.6602440	28.2933178	18.0222721
NODE_203_length_6259_cov_5.953898	1.5063130	0.2395717	1.6519098	2.4674764	0.3830909	0.0958926	0.8142880	0.7107240	4.4735498	0.8617548
NODE_204_length_6163_cov_115.179757	25.5908127	17.4497643	44.2525558	34.2199326	14.6601200	9.3400421	29.6729431	23.2764168	33.6502190	21.1783810
NODE_205_length_5917_cov_52.066781	9.8796282	8.9207096	19.0148773	15.1492815	7.4431109	4.6549449	14.6522398	10.5178356	16.0992393	10.6331358
NODE_206_length_5883_cov_86.385291	18.5794926	12.3671141	32.3654137	25.0600243	10.1657877	6.6284647	23.8493462	18.7034512	28.1542263	16.4861412
NODE_207_length_5836_cov_71.861087	16.4928017	10.9898872	26.7932816	20.7685986	8.7488861	5.9549193	18.1035309	15.3522453	24.7708263	13.4496059
NODE_208_length_5815_cov_16.029453	12.2267332	0.1496646	8.2432480	7.3777738	3.5050747	1.7230346	2.6008945	0.4374678	0.0516085	0.1032169
NODE_209_length_5801_cov_110.337526	22.8618736	15.5837212	42.8342819	32.9496460	14.5307808	8.1533022	31.3824806	25.1131229	33.5107765	18.3426456
