v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
240,7,COG0092,77,1.0,1.0,,0.0,0.9304100156024815,0.9163139749718698,0.1251783736930039
240,8,COG0092,77,1.0,1.0,,0.817402972972973,1.2799113545651362,0.28237593881887035,0.11852739622379083
240,9,COG0092,77,1.0,1.0,,3.703850675675676,0.48012167728083505,10.433643547104747,0.0979415351672857
255,0,COG0092,107,1.0,1.0,0_1_2,13.913513513513513,11.189274698097375,7.828476465220564,0.05113403587644946
255,1,COG0092,107,1.0,1.0,0_1_2,7.167567567567568,7.4615572880927985,0.30465194839681514,0.07822293637856823
255,2,COG0092,107,1.0,1.0,0_1_2,31.621621621621625,20.519670290956913,124.37057859192083,0.018105203118900487
255,3,COG0092,107,1.0,1.0,0_1_2,14.335135135135136,15.995577911897675,3.492208318011289,0.04982081658886865
255,4,COG0092,107,1.0,1.0,0_1_2,6.324324324324325,6.068989387140414,0.2157123966685564,0.0825893720994969
255,5,COG0092,107,1.0,1.0,0_1_2,3.1621621621621623,4.075791278100506,0.921954177363207,0.10148729303484819
255,6,COG0092,107,1.0,1.0,0_1_2,15.600000000000001,14.36396478235722,2.125475393773105,0.04609787398972649
255,7,COG0092,107,1.0,1.0,0_1_2,16.02162162162162,10.425414328911899,31.669822837456476,0.044925546734868316
255,8,COG0092,107,1.0,1.0,0_1_2,10.751351351351351,15.819379701078388,26.441343397360875,0.06228020680795529
255,9,COG0092,107,1.0,1.0,0_1_2,10.962162162162164,9.977501115456594,1.3072258444926832,0.061459830823747404
256,0,COG0092,109,1.0,1.0,0_2,12.632847297297298,8.626651103253797,16.399152615398073,0.055360907930702155
256,1,COG0092,109,1.0,1.0,0_2,6.405405405405406,6.649949861232365,0.2539251890514331,0.08215819833334786
256,2,COG0092,109,1.0,1.0,0_2,22.41891891891892,16.717573799658943,33.5393783817791,0.03062931671246292
256,3,COG0092,109,1.0,1.0,0_2,14.590125675675678,12.504084726565456,5.004939543452061,0.04904455692576711
256,4,COG0092,109,1.0,1.0,0_2,5.337837837837838,4.91166024053687,0.30445209234730264,0.0880374017825969
256,5,COG0092,109,1.0,1.0,0_2,2.135135135135135,3.4842447542934103,1.8900041804717698,0.10859902294670269
256,6,COG0092,109,1.0,1.0,0_2,14.767982432432433,11.699615028703024,9.954319397077127,0.04851096111977588
256,7,COG0092,109,1.0,1.0,0_2,6.761257702702704,8.081183146910547,2.0404450256754316,0.08029462540572889
256,8,COG0092,109,1.0,1.0,0_2,4.98198554054054,12.53912912340606,57.79249122753891,0.0900976648137269
256,9,COG0092,109,1.0,1.0,0_2,8.54054054054054,8.565738273345799,0.30584083829509184,0.07164229779233762
241,0,COG0092,79,1.0,1.0,1,5.148137297297298,4.773706081496464,0.47891381417793544,0.08912924622544113
241,1,COG0092,79,1.0,1.0,1,0.20800583783783785,1.4135615392512906,1.5921947145353454,0.12344832981541727
241,2,COG0092,79,1.0,1.0,1,9.334237837837838,8.150215076497647,2.051092973054474,0.06811535022791111
241,3,COG0092,79,1.0,1.0,1,8.034206486486488,6.842253462767987,1.9557652706896018,0.0739961047241066
241,4,COG0092,79,1.0,1.0,1,2.8340810810810813,2.2308000762599107,0.5093257866847997,0.10370250699508458
241,5,COG0092,79,1.0,1.0,1,4.134112432432432,1.113119334074357,9.21135726806142,0.09522110314596138
241,6,COG0092,79,1.0,1.0,1,4.134112432432432,5.731183405419682,2.9473755714130205,0.09522110314596138
241,7,COG0092,79,1.0,1.0,1,7.514202162162163,4.864680555217153,7.337602336007453,0.07650152681085642
241,8,COG0092,79,1.0,1.0,1,6.500177297297297,6.696559998819475,0.5473847805917369,0.08165732472579311
241,9,COG0092,79,1.0,1.0,1,2.6520713513513514,2.5834242934298364,0.20905506159985993,0.10495405895583654
242,0,COG0092,81,1.0,1.0,,0.23544777027027025,0.45837697752799955,0.08991481596946861,0.12322203074834456
242,1,COG0092,81,1.0,1.0,,0.0,0.3260110948200257,0.13602658547240948,0.1251783736930039
242,2,COG0092,81,1.0,1.0,,0.0,2.0133241860968294,4.153700493797735,0.1251783736930039
242,3,COG0092,81,1.0,1.0,,0.9156272702702702,1.012082978538498,0.06842366529684284,0.11775434005724765
242,4,COG0092,81,1.0,1.0,,0.0,0.3531209395192634,0.15361317507693048,0.1251783736930039
242,5,COG0092,81,1.0,1.0,,0.0,0.22279308702037254,0.06752780827199929,0.1251783736930039
242,6,COG0092,81,1.0,1.0,,8.920814729729729,1.4293869439172133,56.190614184958704,0.06992822487589741
242,7,COG0092,81,1.0,1.0,,1.7004497702702703,0.9247892729087317,0.6513728477671648,0.11177053085573947
242,8,COG0092,81,1.0,1.0,,8.031363513513515,1.2721792275326416,45.75361893544453,0.07400955670331545
242,9,COG0092,81,1.0,1.0,,3.557866081081081,0.4772212613248145,9.53099652106871,0.09888366463182927
244,0,COG0092,85,1.0,1.0,0_2,18.97094594594595,14.81813051733185,18.074650001723217,0.037584664087972314
244,1,COG0092,85,1.0,1.0,0_2,9.777804054054055,11.421762350647697,3.1675857904999107,0.06622716219500271
244,2,COG0092,85,1.0,1.0,0_2,35.11570945945946,28.715073786987283,43.35687445087366,0.01494272532008661
244,3,COG0092,85,1.0,1.0,0_2,19.458108108108107,21.47827397665467,5.604739365138222,0.03650416617760603
244,4,COG0092,85,1.0,1.0,0_2,12.571469594594596,8.43658548340807,17.401148078733318,0.055572872454093286
244,5,COG0092,85,1.0,1.0,0_2,6.4319087837837845,5.984575361793298,0.37583013836430285,0.08201779059894622
244,6,COG0092,85,1.0,1.0,0_2,27.774155405405406,20.095939813764794,60.21823869292296,0.02247555829030497
244,7,COG0092,85,1.0,1.0,0_2,12.084206081081083,13.881125467282247,3.94143288856549,0.05728745445837435
244,8,COG0092,85,1.0,1.0,0_2,21.34222972972973,21.53828777794914,1.6244328758570212,0.03263569150677128
244,9,COG0092,85,1.0,1.0,0_2,15.365118243243243,14.712566969458397,1.1483488573405687,0.04676548634864871
243,0,COG0092,83,1.0,1.0,,0.0,0.4520103970695488,0.2434677844714262,0.1251783736930039
243,1,COG0092,83,1.0,1.0,,0.02616075,0.3214848462367587,0.11617272187993388,0.124959348691929
243,2,COG0092,83,1.0,1.0,,0.0,1.9853722863064285,4.040175992080718,0.1251783736930039
243,3,COG0092,83,1.0,1.0,,2.040540540540541,0.9980292060082211,1.144561101132992,0.10928078163197416
243,4,COG0092,83,1.0,1.0,,0.0,0.34821765229219914,0.1494123776356804,0.1251783736930039
243,5,COG0092,83,1.0,1.0,,0.0,0.21969975164742797,0.06568199757772006,0.1251783736930039
243,6,COG0092,83,1.0,1.0,,4.499657162162162,1.409542163217766,9.616543004635687,0.09297437379912703
243,7,COG0092,83,1.0,1.0,,0.0,0.9119489545957161,0.880216936960493,0.1251783736930039
243,8,COG0092,83,1.0,1.0,,0.0,1.254515538522747,1.639404268791101,0.1251783736930039
243,9,COG0092,83,1.0,1.0,,0.0,0.47059517237210685,0.26102718737308434,0.1251783736930039
247,0,COG0092,91,1.0,1.0,0_1,12.192946216216216,6.400555505925454,33.84005288626471,0.05689986393125552
247,1,COG0092,91,1.0,1.0,0_1,0.0,5.12088587714597,26.464483427000626,0.1251783736930039
247,2,COG0092,91,1.0,1.0,0_1,9.942567567567568,12.975380860395274,10.064513330151689,0.06554040976093164
247,3,COG0092,91,1.0,1.0,0_1,14.484229324324325,9.475866100290173,25.596337598229894,0.04936531328590719
247,4,COG0092,91,1.0,1.0,0_1,4.9508241891891895,3.947284655452223,1.1516414312421728,0.09028056124147776
247,5,COG0092,91,1.0,1.0,0_1,0.6955702432432432,2.418044216437644,3.0481133547112886,0.11949391896288007
247,6,COG0092,91,1.0,1.0,0_1,10.760892432432431,8.895383614544986,3.9409266834267216,0.06224282003164931
247,7,COG0092,91,1.0,1.0,0_1,6.178296756756757,6.153266865109966,0.26096248305249947,0.08337214845131585
247,8,COG0092,91,1.0,1.0,0_1,5.973730270270271,8.634086762612803,7.524928673443259,0.08448233983644406
247,9,COG0092,91,1.0,1.0,0_1,0.6137392297297297,6.610662134472711,36.299108750948726,0.12014789968801995
248,0,COG0092,93,1.0,1.0,,1.5138921621621622,0.3285905092726343,1.4256218366024302,0.11316239514344964
248,1,COG0092,93,1.0,1.0,,0.0,0.23370446404430206,0.06991465793386685,0.1251783736930039
248,2,COG0092,93,1.0,1.0,,2.7004455405405405,1.4432728851953647,1.6323558535933351,0.1046198305216829
248,3,COG0092,93,1.0,1.0,,1.472972972972973,0.7255206663233211,0.5891506905130035,0.1134701935339993
248,4,COG0092,93,1.0,1.0,,0.2864107567567568,0.2531379821367518,0.015980758547282915,0.12280295894193928
248,5,COG0092,93,1.0,1.0,,0.0,0.15971145906023398,0.034707678548120055,0.1251783736930039
248,6,COG0092,93,1.0,1.0,,1.2274769864864865,1.0246712901566832,0.07683944572756901,0.11533602878385246
248,7,COG0092,93,1.0,1.0,,2.454959864864865,0.6629443062101901,3.23694891567249,0.1063279908280873
248,8,COG0092,93,1.0,1.0,,0.0,0.9119742165659306,0.8662941505838871,0.1251783736930039
248,9,COG0092,93,1.0,1.0,,0.0,0.34210071748103593,0.13793200383377857,0.1251783736930039
246,0,COG0092,89,1.0,1.0,0_1,11.645500135135135,6.105515864137357,30.954978190365427,0.05888074671640729
246,1,COG0092,89,1.0,1.0,0_1,0.8815310675675676,4.8848338136286475,16.246946243774605,0.11802206612494236
246,2,COG0092,89,1.0,1.0,0_1,7.887392027027028,12.377268443813454,20.95257126291951,0.07469427994527471
246,3,COG0092,89,1.0,1.0,0_1,16.145945945945947,9.039067116627997,50.97684923066996,0.044586132319117254
246,4,COG0092,89,1.0,1.0,0_1,6.170716081081081,3.765330846958239,5.917927978960125,0.08341300445752804
246,5,COG0092,89,1.0,1.0,0_1,1.9950404054054056,2.30658218805822,0.17115874489669633,0.10961036289486338
246,6,COG0092,89,1.0,1.0,0_1,12.712607972972975,8.485342518459907,18.291423103972402,0.05508677929605034
246,7,COG0092,89,1.0,1.0,0_1,9.325675675675676,5.869626226414167,12.18222188704439,0.06815237122931896
